Date,Open,High,Low,Close,Volume
1996-01-01 00:00:00+05:30,4.600218506,4.62490225,4.569924342,4.617048264,104121369
1996-01-02 00:00:00+05:30,4.605830417,4.628270302,4.547485935,4.581145763,168743308
1996-01-03 00:00:00+05:30,4.656318944,4.868378122,4.605829363,4.615927219,209323879
1996-01-04 00:00:00+05:30,4.572169517,4.586755411,4.511581173,4.573291302,216900264
1996-01-05 00:00:00+05:30,4.555338994,4.555338994,4.502604944,4.541874886,166708467
1996-01-08 00:00:00+05:30,4.532899045,4.536264697,4.315229745,4.360109806,186974245
1996-01-09 00:00:00+05:30,4.231078014,4.30849578,4.089705385,4.234443665,388766555
1996-01-10 00:00:00+05:30,4.151416301,4.251274259,4.10653625,4.125609875,276606655
1996-01-11 00:00:00+05:30,4.084097226,4.274838323,4.078487106,4.25464201,409645726
1996-01-12 00:00:00+05:30,4.286057147,4.31859548,4.181710846,4.209761143,374687924
1996-01-15 00:00:00+05:30,4.197419179,4.218737275,4.142441263,4.166003227,199981539
1996-01-16 00:00:00+05:30,4.151417507,4.196297571,4.137953398,4.173857689,217247573
1996-01-17 00:00:00+05:30,4.151416455,4.157026574,3.973018026,4.007799625,299629901
1996-01-18 00:00:00+05:30,3.905698989,3.969652688,3.855208502,3.896722317,377502810
1996-01-19 00:00:00+05:30,3.842865686,3.891111996,3.802473664,3.828279495,324535340
1996-01-22 00:00:00+05:30,3.840622037,3.943846265,3.837255485,3.893356085,338613971
1996-01-23 00:00:00+05:30,3.906819892,3.923649951,3.523094493,3.72842145,354919302
1996-01-24 00:00:00+05:30,3.695883777,3.718323961,3.545535293,3.60051322,351185727
1996-01-25 00:00:00+05:30,3.592658573,3.608366549,3.427724224,3.44904232,360855771
1996-01-26 00:00:00+05:30,3.44904232,3.44904232,3.44904232,3.44904232,0
1996-01-29 00:00:00+05:30,3.433334093,3.753105865,3.412016594,3.720567226,652902286
1996-01-30 00:00:00+05:30,3.837256562,4.241178715,3.781156845,4.054925919,1061936020
1996-01-31 00:00:00+05:30,4.016776359,4.168246889,3.865305529,3.966286182,731560842
1996-02-01 00:00:00+05:30,3.927015145,4.151416301,3.915795507,4.125609875,640422958
1996-02-02 00:00:00+05:30,4.235567672,4.622659704,4.235567672,4.573291302,818725675
1996-02-05 00:00:00+05:30,4.824619814,5.053508751,4.679881478,4.953650475,1222482548
1996-02-06 00:00:00+05:30,5.072581825,5.161220441,4.434161173,4.538507462,1242315590
1996-02-07 00:00:00+05:30,4.287178597,4.667538305,4.242298545,4.622658253,895441820
1996-02-08 00:00:00+05:30,4.669782557,5.108486758,4.622658633,5.026580334,821653997
1996-02-09 00:00:00+05:30,5.206101084,5.430501672,5.028824421,5.318301678,994440377
1996-02-12 00:00:00+05:30,5.183661978,5.273422106,4.914380392,4.985066891,971599188
1996-02-13 00:00:00+05:30,4.936820009,5.478748471,4.894184118,5.284641743,1019034918
1996-02-14 00:00:00+05:30,5.419282081,5.496699874,5.247615836,5.288007259,622459505
1996-02-15 00:00:00+05:30,5.161222179,5.329522798,5.116341814,5.203858376,699136437
1996-02-16 00:00:00+05:30,5.116341459,5.166831641,5.072583181,5.111853123,495646793
1996-02-19 00:00:00+05:30,5.206101695,5.277910275,5.13317163,5.1634655,518231701
1996-02-20 00:00:00+05:30,5.161221772,5.182539569,4.824619961,4.890818119,639131752
1996-02-21 00:00:00+05:30,4.890818119,4.890818119,4.890818119,4.890818119,0
1996-02-22 00:00:00+05:30,5.004140721,5.183661254,4.960382447,5.148879051,613558303
